UniqueID,Box_To_Box_Midfielder,Carrilero,Ball_Winning_Midfielder_(Defend),Central_Midfielder_Support,Advanced_Playmaker_(Attack),Advanced_Playmaker_(Support),Mezzala
16116,0.000752493,0.007788378,50.33141298,3.834318747,40.27582043,2.919460212,2.630446754
18802,0.00075255,0.007788974,50.3276093,3.834612385,40.27890481,2.919683788,2.630648197
29957,0.000752567,0.007789144,50.32652827,3.834695838,40.27978141,2.91974733,2.630705448
5565,0.000753412,0.007797887,50.27076744,3.839000466,40.32499737,2.923024885,2.633658539
11078,0.000753855,0.007802481,50.24147564,3.841261736,40.34874984,2.924746622,2.635209832
5542,0.000755281,0.007817232,50.14740304,3.848523958,40.42503247,2.930276097,2.640191914
30640,17.83504567,16.48368562,16.92399158,27.60328017,7.668347328,1.890845181,11.59480445
30362,13.84753472,14.74905961,9.866686389,15.73143025,14.10756851,12.39282875,19.30489177
29871,0.000760135,0.00786748,49.82695933,3.873261593,40.68487747,2.949111395,2.657162603
24768,0.000761146,0.007877938,49.76026095,3.878410578,40.73896259,2.953031846,2.660694947
29812,0.000763153,0.007898707,49.62781205,3.888635377,40.84636424,2.960817035,2.667709436
30562,16.88232201,19.66266632,21.39946613,7.893043877,14.78823028,8.182919446,11.19135194
27865,0.000763353,0.007900786,49.61455542,3.889658763,40.85711393,2.961596243,2.668411507
20325,0.000765809,0.007926199,49.45249288,3.902169678,40.98852902,2.971122086,2.676994334
5677,0.000767129,0.007939863,49.36535046,3.908896904,41.05919204,2.976244213,2.681609393
29875,0.000771458,0.00798467,49.07960285,3.930956065,41.29090226,2.993040116,2.696742577
29837,0.000771458,0.00798467,49.07960285,3.930956065,41.29090226,2.993040116,2.696742577
24895,0.000781757,0.00809127,48.39978574,3.983436631,41.84215998,3.032998954,2.73274567
12893,20.55560454,12.57137305,24.38506364,22.49189083,9.313113765,8.799863937,1.88309024
24885,0.000787716,0.008152937,48.00652347,4.013795716,42.1610529,3.056114441,2.753572827
